Customer ID,Recency,Frequency,Monetary,Cluster,Segment
AA-10315,185,5,5563.56,1,Loyal Customers
AA-10375,20,9,1056.39,0,VIP Customers
AA-10480,260,4,1790.5120000000002,1,Loyal Customers
AA-10645,56,6,5086.9349999999995,0,VIP Customers
AB-10015,416,3,886.156,3,At-Risk Customers
AB-10060,55,8,7755.62,2,Occasional Customers
AB-10105,42,10,14473.570999999998,2,Occasional Customers
AB-10150,42,5,966.71,1,Loyal Customers
AB-10165,26,8,1113.838,0,VIP Customers
AB-10255,167,9,914.5319999999999,0,VIP Customers
AB-10600,51,4,1515.862,1,Loyal Customers
AC-10420,233,3,925.8,1,Loyal Customers
AC-10450,12,7,5527.846,0,VIP Customers
AC-10615,7,5,2537.6859999999997,1,Loyal Customers
AC-10660,283,5,657.316,1,Loyal Customers
AD-10180,30,8,6106.88,0,VIP Customers
AF-10870,42,7,2052.908,0,VIP Customers
AF-10885,416,4,861.565,3,At-Risk Customers
AG-10270,279,5,2582.898,1,Loyal Customers
AG-10300,119,4,367.548,1,Loyal Customers
AG-10330,9,5,660.972,1,Loyal Customers
AG-10390,115,5,200.945,1,Loyal Customers
AG-10495,79,8,2356.855,0,VIP Customers
AG-10525,846,4,1455.038,3,At-Risk Customers
AG-10675,98,7,3489.0396000000005,0,VIP Customers
AG-10765,78,4,170.584,1,Loyal Customers
AG-10900,97,10,4510.797,0,VIP Customers
AH-10030,13,7,1744.7,0,VIP Customers
AH-10075,35,10,3250.337,0,VIP Customers
AH-10120,61,7,1735.5140000000001,0,VIP Customers
AH-10195,56,4,1587.452,1,Loyal Customers
AH-10210,7,9,4805.344,0,VIP Customers
AH-10465,231,5,2495.3916,1,Loyal Customers
AH-10585,22,4,738.504,1,Loyal Customers
AH-10690,411,12,7888.294,2,Occasional Customers
AI-10855,14,10,4375.786,0,VIP Customers
AJ-10780,76,7,4867.344,0,VIP Customers
AJ-10795,167,7,4501.391,0,VIP Customers
AJ-10945,86,7,1839.24,0,VIP Customers
AJ-10960,75,3,629.2479999999999,1,Loyal Customers
AM-10360,29,5,814.012,1,Loyal Customers
AM-10705,163,8,5664.022,0,VIP Customers
AO-10810,502,1,161.28,3,At-Risk Customers
AP-10720,42,8,1638.554,0,VIP Customers
AP-10915,99,10,3323.556,0,VIP Customers
AR-10345,112,4,1055.694,1,Loyal Customers
AR-10405,126,5,2236.128,1,Loyal Customers
AR-10510,15,5,264.86400000000003,1,Loyal Customers
AR-10540,7,6,6608.448,2,Occasional Customers
AR-10570,535,1,88.15,3,At-Risk Customers
AR-10825,59,8,4523.336,0,VIP Customers
AS-10045,89,7,3050.692,0,VIP Customers
AS-10090,29,9,3255.31,0,VIP Customers
AS-10135,42,2,58.82,1,Loyal Customers
AS-10225,23,5,4260.784,1,Loyal Customers
AS-10240,193,7,584.6080000000001,1,Loyal Customers
AS-10285,20,6,3214.236,1,Loyal Customers
AS-10630,93,7,833.398,1,Loyal Customers
AT-10435,22,6,1171.814,1,Loyal Customers
AT-10735,14,10,3831.864,0,VIP Customers
AW-10840,21,4,649.376,1,Loyal Customers
AW-10930,47,7,2852.968,0,VIP Customers
AY-10555,15,4,497.014,1,Loyal Customers
AZ-10750,161,6,1622.0179999999998,1,Loyal Customers
BB-10990,106,5,744.3399999999999,1,Loyal Customers
BB-11545,29,9,6765.728,2,Occasional Customers
BC-11125,203,9,2933.676,0,VIP Customers
BD-11320,34,12,5718.521,0,VIP Customers
BD-11500,36,6,4411.2429999999995,0,VIP Customers
BD-11560,279,2,320.54,1,Loyal Customers
BD-11605,98,7,3288.471,0,VIP Customers
BD-11620,70,6,1538.11,1,Loyal Customers
BD-11635,10,3,582.646,1,Loyal Customers
BD-11725,94,6,1526.5,1,Loyal Customers
BD-11770,328,6,658.466,1,Loyal Customers
BE-11335,120,5,4204.676,1,Loyal Customers
BE-11410,99,5,2261.438,1,Loyal Customers
BE-11455,255,6,1727.652,1,Loyal Customers
BF-10975,92,7,599.798,1,Loyal Customers
BF-11005,40,4,1333.88,1,Loyal Customers
BF-11020,75,8,2888.506,0,VIP Customers
BF-11080,26,3,272.95,1,Loyal Customers
BF-11170,17,11,5907.972,0,VIP Customers
BF-11215,66,4,1585.162,1,Loyal Customers
BF-11275,58,3,791.9899999999999,1,Loyal Customers
BG-11035,29,8,2798.948,0,VIP Customers
BG-11695,37,6,1874.172,1,Loyal Customers
BG-11740,58,6,1006.356,1,Loyal Customers
BH-11710,24,8,6255.351,0,VIP Customers
BK-11260,78,6,659.1379999999999,1,Loyal Customers
BM-11140,308,4,11789.63,2,Occasional Customers
BM-11575,101,6,808.162,1,Loyal Customers
BM-11650,34,11,7294.185,2,Occasional Customers
BM-11785,219,10,1338.842,0,VIP Customers
BN-11470,25,4,265.296,1,Loyal Customers
BN-11515,10,5,1459.344,1,Loyal Customers
BO-11350,138,5,2682.728,1,Loyal Customers
BO-11425,76,2,130.83,1,Loyal Customers
BP-11050,84,5,983.42,1,Loyal Customers
BP-11095,18,12,2442.044,0,VIP Customers
BP-11155,90,6,1697.8609999999999,1,Loyal Customers
BP-11185,2,9,3675.861,0,VIP Customers
BP-11230,40,5,1181.49,1,Loyal Customers
BP-11290,13,7,2475.157,0,VIP Customers
BS-11365,559,5,10501.653,2,Occasional Customers
BS-11380,29,5,3887.834,1,Loyal Customers
BS-11590,36,6,2454.928,1,Loyal Customers
BS-11665,583,3,3288.1099999999997,3,At-Risk Customers
BS-11755,2,7,2562.382,0,VIP Customers
BS-11800,266,2,949.4300000000001,1,Loyal Customers
BT-11305,337,5,2567.656,1,Loyal Customers
BT-11395,303,6,2186.6130000000003,1,Loyal Customers
BT-11440,561,4,603.876,3,At-Risk Customers
BT-11485,660,2,415.19599999999997,3,At-Risk Customers
BT-11530,92,5,2684.4919999999997,1,Loyal Customers
BT-11680,21,7,3196.752,0,VIP Customers
BV-11245,335,5,1523.2730000000001,1,Loyal Customers
BW-11065,213,3,385.516,1,Loyal Customers
BW-11110,122,8,4750.358,0,VIP Customers
BW-11200,204,6,1738.406,1,Loyal Customers
CA-11965,97,6,3789.7228,1,Loyal Customers
CA-12055,402,5,1679.7240000000002,3,At-Risk Customers
CA-12265,57,9,2648.2872,0,VIP Customers
CA-12310,14,4,1421.954,1,Loyal Customers
CA-12775,121,7,3041.566,0,VIP Customers
CB-12025,48,10,6076.139,0,VIP Customers
CB-12415,27,8,1949.2,0,VIP Customers
CB-12535,198,8,4246.4555,0,VIP Customers
CC-12100,458,6,1770.945,3,At-Risk Customers
CC-12145,107,7,2471.65,0,VIP Customers
CC-12220,21,12,3913.418,0,VIP Customers
CC-12370,44,5,12129.072000000002,2,Occasional Customers
CC-12430,1,10,2870.05,0,VIP Customers
CC-12475,40,9,1659.438,0,VIP Customers
CC-12550,28,3,113.832,1,Loyal Customers
CC-12610,35,7,2540.631,0,VIP Customers
CC-12670,30,7,2269.7015,0,VIP Customers
CC-12685,800,4,2854.1150000000002,3,At-Risk Customers
CD-11920,41,5,2033.968,1,Loyal Customers
CD-11980,55,3,639.766,1,Loyal Customers
CD-12280,43,2,1205.584,1,Loyal Customers
CD-12790,400,5,1860.732,3,At-Risk Customers
CG-12040,50,6,904.4680000000001,1,Loyal Customers
CG-12520,339,3,1148.7800000000002,3,At-Risk Customers
CH-12070,692,3,1537.236,3,At-Risk Customers
CJ-11875,366,1,16.52,3,At-Risk Customers
CJ-12010,190,8,11164.974,2,Occasional Customers
CK-12205,40,13,3154.855,0,VIP Customers
CK-12325,121,5,2945.321,1,Loyal Customers
CK-12595,44,11,2372.75,0,VIP Customers
CK-12760,83,9,1582.109,0,VIP Customers
CL-11890,107,4,1262.0140000000001,1,Loyal Customers
CL-12565,285,12,10880.546,2,Occasional Customers
CL-12700,106,5,2353.586,1,Loyal Customers
CM-11815,132,6,1673.888,1,Loyal Customers
CM-11935,709,2,565.392,3,At-Risk Customers
CM-12115,9,4,1661.6100000000001,1,Loyal Customers
CM-12160,27,6,2533.314,1,Loyal Customers
CM-12190,9,6,1475.144,1,Loyal Customers
CM-12235,386,5,2305.712,3,At-Risk Customers
CM-12385,38,4,8954.019999999999,2,Occasional Customers
CM-12445,437,3,287.99,3,At-Risk Customers
CM-12655,28,6,6339.5576,0,VIP Customers
CM-12715,1036,4,3984.4524,3,At-Risk Customers
CP-12085,83,8,5402.254,0,VIP Customers
CP-12340,161,8,5888.275,0,VIP Customers
CR-12580,58,4,2148.852,1,Loyal Customers
CR-12625,471,3,475.9,3,At-Risk Customers
CR-12730,79,4,1600.55,1,Loyal Customers
CR-12820,86,3,1397.8724,1,Loyal Customers
CS-11845,92,5,1278.954,1,Loyal Customers
CS-11860,163,6,537.632,1,Loyal Customers
CS-11950,26,11,3036.547,0,VIP Customers
CS-12130,490,4,884.64,3,At-Risk Customers
CS-12175,233,5,844.4580000000001,1,Loyal Customers
CS-12250,27,12,2754.216,0,VIP Customers
CS-12355,7,11,3202.1620000000003,0,VIP Customers
CS-12400,3,9,3651.8585000000003,0,VIP Customers
CS-12460,28,2,550.644,1,Loyal Customers
CS-12490,425,4,1077.2285,3,At-Risk Customers
CS-12505,59,6,5690.054999999999,0,VIP Customers
CT-11995,97,8,3241.898,0,VIP Customers
CV-12295,255,5,2830.6279999999997,1,Loyal Customers
CV-12805,6,9,2370.3136,0,VIP Customers
CW-11905,23,6,1136.592,1,Loyal Customers
CY-12745,61,8,2900.026,0,VIP Customers
Co-12640,550,5,1300.076,3,At-Risk Customers
DA-13450,353,4,156.76,3,At-Risk Customers
DB-12910,22,8,2171.599,0,VIP Customers
DB-12970,242,5,2839.2272,1,Loyal Customers
DB-13060,17,7,4531.646,0,VIP Customers
DB-13120,49,7,2973.094,0,VIP Customers
DB-13210,10,10,2332.577,0,VIP Customers
DB-13270,54,8,4655.897,0,VIP Customers
DB-13360,265,5,1081.466,1,Loyal Customers
DB-13405,188,4,1711.692,1,Loyal Customers
DB-13555,108,7,3908.8028,0,VIP Customers
DB-13615,34,7,1989.05,0,VIP Customers
DB-13660,13,7,1155.202,1,Loyal Customers
DC-12850,38,9,3336.168,0,VIP Customers
DC-13285,24,5,1174.618,1,Loyal Customers
DD-13570,42,6,269.542,1,Loyal Customers
DE-13255,720,5,2550.874,3,At-Risk Customers
DF-13135,701,3,2390.534,3,At-Risk Customers
DG-13300,33,5,3195.818,1,Loyal Customers
DH-13075,278,6,4932.872,0,VIP Customers
DH-13675,777,4,1043.096,3,At-Risk Customers
DJ-13420,638,4,2012.52,3,At-Risk Customers
DJ-13510,49,8,2501.6879999999996,0,VIP Customers
DJ-13630,13,3,3356.398,1,Loyal Customers
DK-12835,22,12,3256.48,0,VIP Customers
DK-12895,46,5,4282.176,1,Loyal Customers
DK-12985,8,5,1687.04,1,Loyal Customers
DK-13090,43,7,2650.557,0,VIP Customers
DK-13150,11,2,797.832,1,Loyal Customers
DK-13225,11,9,4802.394,0,VIP Customers
DK-13375,20,8,3318.486,0,VIP Customers
DL-12865,101,8,1503.112,0,VIP Customers
DL-12925,58,6,3272.2,1,Loyal Customers
DL-13315,23,8,1458.258,0,VIP Customers
DL-13330,58,4,585.02,1,Loyal Customers
DL-13495,77,8,3539.322,0,VIP Customers
DM-12955,115,7,1322.034,1,Loyal Customers
DM-13015,58,7,6345.103,0,VIP Customers
DM-13345,23,8,4074.4719999999998,0,VIP Customers
DM-13525,482,3,1376.792,3,At-Risk Customers
DN-13690,218,7,2139.79,0,VIP Customers
DO-13435,134,9,1300.0315,0,VIP Customers
DO-13645,27,7,1267.316,1,Loyal Customers
DP-13000,127,9,1050.636,0,VIP Customers
DP-13105,7,8,2215.002,0,VIP Customers
DP-13165,813,2,1058.616,3,At-Risk Customers
DP-13390,359,9,5480.723999999999,0,VIP Customers
DR-12880,4,9,6528.034000000001,0,VIP Customers
DR-12940,51,8,8350.868,2,Occasional Customers
DS-13030,94,4,1762.213,1,Loyal Customers
DS-13180,24,9,2881.8128,0,VIP Customers
DV-13045,20,5,1119.483,1,Loyal Customers
DV-13465,30,6,3341.587,1,Loyal Customers
DW-13195,70,6,1080.751,1,Loyal Customers
DW-13480,218,5,5271.628,1,Loyal Customers
DW-13540,99,5,344.08,1,Loyal Customers
DW-13585,243,7,1204.854,1,Loyal Customers
Dl-13600,120,5,755.602,1,Loyal Customers
Dp-13240,85,11,7198.7609999999995,2,Occasional Customers
EA-14035,153,13,2846.705,0,VIP Customers
EB-13705,49,9,3644.978,0,VIP Customers
EB-13750,36,10,3236.314,0,VIP Customers
EB-13840,91,5,4358.128,1,Loyal Customers
EB-13870,101,10,2767.219,0,VIP Customers
EB-13930,162,5,944.6000000000001,1,Loyal Customers
EB-13975,1,4,1643.255,1,Loyal Customers
EB-14110,114,6,3071.126,1,Loyal Customers
EB-14170,83,6,1186.326,1,Loyal Customers
EC-14050,54,5,461.914,1,Loyal Customers
ED-13885,136,8,3484.92,0,VIP Customers
EG-13900,23,5,1832.02,1,Loyal Customers
EH-13765,136,12,10310.880000000001,2,Occasional Customers
EH-13945,218,8,684.1709999999999,0,VIP Customers
EH-13990,406,6,825.9499999999999,3,At-Risk Customers
EH-14005,3,7,1219.53,1,Loyal Customers
EH-14125,153,10,3082.653,0,VIP Customers
EH-14185,106,6,923.884,1,Loyal Customers
EJ-13720,303,4,2162.174,1,Loyal Customers
EJ-14155,58,5,2656.691,1,Loyal Customers
EK-13795,45,4,1303.478,1,Loyal Customers
EL-13735,78,2,124.28,1,Loyal Customers
EM-13810,133,5,2567.0099999999998,1,Loyal Customers
EM-13825,56,8,2339.598,0,VIP Customers
EM-13960,152,5,933.704,1,Loyal Customers
EM-14065,48,4,228.99,1,Loyal Customers
EM-14095,114,4,1041.0420000000001,1,Loyal Customers
EM-14140,49,6,4588.436000000001,0,VIP Customers
EM-14200,159,3,366.822,1,Loyal Customers
EN-13780,288,4,2199.366,1,Loyal Customers
EP-13915,13,17,5478.0608,0,VIP Customers
ER-13855,422,3,1245.788,3,At-Risk Customers
ES-14020,41,5,3510.4579999999996,1,Loyal Customers
ES-14080,29,9,4657.924,0,VIP Customers
FA-14230,98,7,2984.054,0,VIP Customers
FC-14245,71,7,3418.742,0,VIP Customers
FC-14335,185,7,3889.366,0,VIP Customers
FG-14260,35,7,1383.144,0,VIP Customers
FH-14275,38,10,4256.272,0,VIP Customers
FH-14350,213,4,2271.284,1,Loyal Customers
FH-14365,6,8,6987.196,2,Occasional Customers
FM-14215,8,10,2456.638,0,VIP Customers
FM-14290,37,9,3736.198,0,VIP Customers
FM-14380,146,9,2523.266,0,VIP Customers
FO-14305,39,10,2678.438,0,VIP Customers
FP-14320,24,8,4046.746,0,VIP Customers
FW-14395,363,3,79.75,3,At-Risk Customers
GA-14515,150,8,3919.7760000000003,0,VIP Customers
GA-14725,6,11,1398.382,0,VIP Customers
GB-14530,63,11,1568.44,0,VIP Customers
GB-14575,14,5,4716.288,1,Loyal Customers
GD-14590,6,4,1888.07,1,Loyal Customers
GG-14650,44,9,2224.0,0,VIP Customers
GH-14410,76,9,2819.4669999999996,0,VIP Customers
GH-14425,51,4,4172.8460000000005,1,Loyal Customers
GH-14485,388,2,1361.2440000000001,3,At-Risk Customers
GH-14665,3,2,146.94080000000002,1,Loyal Customers
GK-14620,113,9,6497.27,2,Occasional Customers
GM-14440,84,7,3582.8199999999997,0,VIP Customers
GM-14455,17,6,3078.624,1,Loyal Customers
GM-14500,107,10,1255.682,0,VIP Customers
GM-14680,153,6,3163.628,1,Loyal Customers
GM-14695,118,3,6049.966,1,Loyal Customers
GP-14740,766,2,236.53,3,At-Risk Customers
GR-14560,1137,2,1284.38,3,At-Risk Customers
GT-14635,57,3,9351.212,2,Occasional Customers
GT-14710,37,11,11820.119999999999,2,Occasional Customers
GT-14755,35,4,226.436,1,Loyal Customers
GW-14605,29,7,2189.019,0,VIP Customers
GZ-14470,8,9,4355.150000000001,0,VIP Customers
GZ-14545,158,4,2454.6220000000003,1,Loyal Customers
HA-14905,70,7,2163.3,0,VIP Customers
HA-14920,21,8,2584.158,0,VIP Customers
HD-14785,770,3,251.36,3,At-Risk Customers
HE-14800,13,4,883.5319999999999,1,Loyal Customers
HF-14995,22,7,2533.1639999999998,0,VIP Customers
HG-14845,55,5,785.628,1,Loyal Customers
HG-14965,24,12,3247.642,0,VIP Customers
HG-15025,7,7,3690.284,0,VIP Customers
HH-15010,73,2,218.668,1,Loyal Customers
HJ-14875,127,5,358.1,1,Loyal Customers
HK-14890,152,8,4877.784,0,VIP Customers
HL-15040,44,6,12873.297999999999,2,Occasional Customers
HM-14860,3,10,8236.7648,2,Occasional Customers
HM-14980,248,4,736.276,1,Loyal Customers
HP-14815,31,7,1990.314,0,VIP Customers
HR-14770,14,5,1299.288,1,Loyal Customers
HR-14830,160,7,5248.787,0,VIP Customers
HW-14935,118,8,9300.254,2,Occasional Customers
HZ-14950,36,5,886.52,1,Loyal Customers
IG-15085,72,4,744.574,1,Loyal Customers
IL-15100,143,7,5040.736,0,VIP Customers
IM-15055,410,3,2872.63,3,At-Risk Customers
IM-15070,391,7,4930.474,0,VIP Customers
JA-15970,93,8,6491.026,2,Occasional Customers
JB-15400,8,10,1791.605,0,VIP Customers
JB-15925,738,3,900.552,3,At-Risk Customers
JB-16000,44,7,644.1188,1,Loyal Customers
JB-16045,8,5,2518.115,1,Loyal Customers
JC-15340,115,4,71.263,1,Loyal Customers
JC-15385,176,1,1058.108,1,Loyal Customers
JC-15775,159,9,2772.055,0,VIP Customers
JC-16105,58,5,858.576,1,Loyal Customers
JD-15790,118,5,2152.352,1,Loyal Customers
JD-15895,395,11,7610.8640000000005,2,Occasional Customers
JD-16015,113,6,385.43,1,Loyal Customers
JD-16060,301,3,695.442,1,Loyal Customers
JD-16150,42,8,8828.0305,2,Occasional Customers
JE-15475,194,6,1388.682,1,Loyal Customers
JE-15610,49,7,7754.976,2,Occasional Customers
JE-15715,47,10,8697.842999999999,2,Occasional Customers
JE-15745,52,13,6760.8150000000005,2,Occasional Customers
JE-16165,21,3,2697.248,1,Loyal Customers
JF-15190,66,7,2279.5860000000002,0,VIP Customers
JF-15295,226,5,955.124,1,Loyal Customers
JF-15355,106,6,1911.844,1,Loyal Customers
JF-15415,3,6,2371.448,1,Loyal Customers
JF-15490,122,11,1082.918,0,VIP Customers
JF-15565,55,8,4198.332,0,VIP Customers
JG-15115,759,3,2358.676,3,At-Risk Customers
JG-15160,2,11,6366.392,0,VIP Customers
JG-15310,3,6,2240.58,1,Loyal Customers
JG-15805,224,6,1507.018,1,Loyal Customers
JH-15430,6,4,309.281,1,Loyal Customers
JH-15820,175,6,528.91,1,Loyal Customers
JH-15910,42,7,959.477,1,Loyal Customers
JH-15985,30,6,7954.9980000000005,2,Occasional Customers
JH-16180,405,4,2256.3940000000002,3,At-Risk Customers
JJ-15445,484,5,709.178,3,At-Risk Customers
JJ-15760,754,2,195.0,3,At-Risk Customers
JK-15205,62,5,4427.142,1,Loyal Customers
JK-15325,288,3,383.812,1,Loyal Customers
JK-15370,45,8,2709.632,0,VIP Customers
JK-15625,62,7,3760.028,0,VIP Customers
JK-15640,181,9,4760.434,0,VIP Customers
JK-15730,85,10,4867.2,0,VIP Customers
JK-16090,29,3,3747.668,1,Loyal Customers
JK-16120,118,10,2932.484,0,VIP Customers
JL-15130,9,6,1214.956,1,Loyal Customers
JL-15175,7,5,1571.523,1,Loyal Customers
JL-15235,120,5,2203.7,1,Loyal Customers
JL-15505,50,6,3173.874,1,Loyal Customers
JL-15835,22,11,9799.923,2,Occasional Customers
JL-15850,615,6,2725.256,3,At-Risk Customers
JM-15250,38,6,3159.1220000000003,1,Loyal Customers
JM-15265,38,5,1804.146,1,Loyal Customers
JM-15535,103,7,1733.443,0,VIP Customers
JM-15580,1,5,303.948,1,Loyal Customers
JM-15655,9,5,864.947,1,Loyal Customers
JM-15865,110,7,7625.076000000001,2,Occasional Customers
JM-16195,58,10,2833.9260000000004,0,VIP Customers
JO-15145,58,9,3254.949,0,VIP Customers
